,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,2,2021-02-18,AR,5323.0,4276.0,10,1047.0,14469.0,14469.0,625.0,77,,241.0,2346008.0,1432,,,2346008.0,1494.0,107.0,314445.0,248996.0,253,0,,,,76855.0,,301772.0,,0,2595004.0,1573,,,,421289.0,,0,2595004.0,1573,1.0,1.0
1,1,1,1,1,58,2021-02-17,AR,5313.0,4268.0,26,1045.0,14392.0,14392.0,638.0,0,,250.0,2344576.0,4013,,,2344576.0,1480.0,110.0,314192.0,248855.0,667,0,,,,76727.0,,300613.0,,0,2593431.0,4423,,,,419081.0,,0,2593431.0,4423,1.0,1.0
2,2,2,2,2,114,2021-02-16,AR,5287.0,4233.0,12,1054.0,14392.0,14392.0,638.0,37,,250.0,2340563.0,1608,,,2340563.0,1480.0,110.0,313525.0,248445.0,177,0,,,,76422.0,,299107.0,,0,2589008.0,1702,,,,414291.0,,0,2589008.0,1702,1.0,1.0
3,3,3,3,3,170,2021-02-15,AR,5275.0,4222.0,10,1053.0,14355.0,14355.0,642.0,23,,244.0,2338955.0,2537,,,2338955.0,1475.0,111.0,313348.0,248351.0,320,0,,,,76323.0,,297552.0,,0,2587306.0,2808,,,,410679.0,,0,2587306.0,2808,1.0,1.0
4,4,4,4,4,226,2021-02-14,AR,5265.0,4212.0,13,1053.0,14332.0,14332.0,669.0,34,,254.0,2336418.0,5553,,,2336418.0,1474.0,109.0,313028.0,248080.0,466,0,,,,76255.0,,296050.0,,0,2584498.0,5986,,,,409453.0,,0,2584498.0,5986,1.0,1.0
5,5,5,5,5,282,2021-02-13,AR,5252.0,4201.0,40,1051.0,14298.0,14298.0,690.0,20,,256.0,2330865.0,7949,,,2330865.0,1474.0,113.0,312562.0,247647.0,954,0,,,,76184.0,,295061.0,,0,2578512.0,8568,,,,408314.0,,0,2578512.0,8568,1.0,1.0
6,6,6,6,6,338,2021-02-12,AR,5212.0,4179.0,13,1033.0,14278.0,14278.0,712.0,23,,258.0,2322916.0,6230,,,2322916.0,1473.0,123.0,311608.0,247028.0,565,0,,,,75810.0,,293796.0,,0,2569944.0,6669,,,,405490.0,,0,2569944.0,6669,1.0,1.0
7,7,7,7,7,394,2021-02-11,AR,5199.0,4165.0,25,1034.0,14255.0,14255.0,712.0,44,,256.0,2316686.0,10297,,,2316686.0,1471.0,117.0,311043.0,246589.0,1103,0,,,,75633.0,,292298.0,,0,2563275.0,11021,,,,402977.0,,0,2563275.0,11021,1.0,1.0
8,8,8,8,8,450,2021-02-10,AR,5174.0,4144.0,26,1030.0,14211.0,14211.0,735.0,37,,283.0,2306389.0,9188,,,2306389.0,1469.0,138.0,309940.0,245865.0,1092,0,,,,75183.0,,290548.0,,0,2552254.0,9820,,,,400253.0,,0,2552254.0,9820,1.0,1.0
9,9,9,9,9,506,2021-02-09,AR,5148.0,4119.0,42,1029.0,14174.0,14174.0,775.0,75,,276.0,2297201.0,6459,,,2297201.0,1464.0,137.0,308848.0,245233.0,1475,0,,,,74670.0,,288774.0,,0,2542434.0,7279,,,,396361.0,,0,2542434.0,7279,1.0,1.0
10,10,10,10,10,562,2021-02-08,AR,5106.0,4081.0,30,1025.0,14099.0,14099.0,777.0,33,,274.0,2290742.0,5291,,,2290742.0,1458.0,142.0,307373.0,244413.0,637,0,,,,73931.0,,286917.0,,0,2535155.0,5830,,,,391322.0,,0,2535155.0,5830,1.0,1.0
11,11,11,11,11,618,2021-02-07,AR,5076.0,4054.0,15,1022.0,14066.0,14066.0,781.0,17,,270.0,2285451.0,8180,,,2285451.0,1458.0,126.0,306736.0,243874.0,672,0,,,,73756.0,,285306.0,,0,2529325.0,8840,,,,389367.0,,0,2529325.0,8840,1.0,1.0
12,12,12,12,12,674,2021-02-06,AR,5061.0,4043.0,11,1018.0,14049.0,14049.0,750.0,147,,263.0,2277271.0,11290,,,2277271.0,1458.0,124.0,306064.0,243214.0,1341,0,,,,73688.0,,284162.0,,0,2520485.0,12253,,,,388441.0,,0,2520485.0,12253,1.0,1.0
13,13,13,13,13,730,2021-02-05,AR,5050.0,4032.0,41,1018.0,13902.0,13902.0,808.0,0,,289.0,2265981.0,10427,,,2265981.0,1449.0,144.0,304723.0,242251.0,1824,0,,,,73205.0,,282699.0,,0,2508232.0,11719,,,,385223.0,,0,2508232.0,11719,1.0,1.0
14,14,14,14,14,786,2021-02-04,AR,5009.0,4013.0,24,996.0,13902.0,13902.0,815.0,89,,308.0,2255554.0,14176,,,2255554.0,1449.0,145.0,302899.0,240959.0,2469,0,,,,72563.0,,280868.0,,0,2496513.0,16070,,,,380737.0,,0,2496513.0,16070,1.0,1.0
