,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,6,2021-02-18,CO,5864.0,5135.0,26,729.0,23047.0,23047.0,462.0,125,,,2121224.0,4617,329403.0,,,,,417415.0,395134.0,1241,0,53202.0,,,,,22163.0,5926792.0,30591,5926792.0,30591,384108.0,,,,2516358.0,5719,,0,1.0,0.6666666666666666
1,1,1,1,1,62,2021-02-17,CO,5838.0,5114.0,10,724.0,22922.0,22922.0,482.0,85,,,2116607.0,4108,327849.0,,,,,416174.0,394032.0,1137,0,52791.0,,,,,22071.0,5896201.0,26832,5896201.0,26832,382605.0,,,,2510639.0,5052,,0,1.0,0.6666666666666666
2,2,2,2,2,118,2021-02-16,CO,5828.0,5108.0,2,720.0,22837.0,22837.0,441.0,25,,,2112499.0,1828,326436.0,,,,,415037.0,393088.0,668,0,52311.0,,,,,22017.0,5869369.0,8056,5869369.0,8056,380640.0,,,,2505587.0,2325,,0,1.0,0.6666666666666666
3,3,3,3,3,174,2021-02-15,CO,5826.0,5106.0,2,720.0,22812.0,22812.0,462.0,15,,,2110671.0,2769,325347.0,,,,,414369.0,392591.0,533,0,52077.0,,,,,21970.0,5861313.0,9356,5861313.0,9356,378747.0,,,,2503262.0,3268,,0,1.0,0.6666666666666666
4,4,4,4,4,230,2021-02-14,CO,5824.0,5104.0,10,720.0,22797.0,22797.0,485.0,19,,,2107902.0,4289,324201.0,,,,,413836.0,392092.0,853,0,51825.0,,,,,21929.0,5851957.0,22002,5851957.0,22002,377424.0,,,,2499994.0,5124,,0,1.0,0.6666666666666666
5,5,5,5,5,286,2021-02-13,CO,5814.0,5094.0,24,720.0,22778.0,22778.0,481.0,75,,,2103613.0,5157,322549.0,,,,,412983.0,391257.0,1209,0,51235.0,,,,,21895.0,5829955.0,30597,5829955.0,30597,376026.0,,,,2494870.0,6261,,0,1.0,0.6666666666666666
6,6,6,6,6,342,2021-02-12,CO,5790.0,5071.0,9,719.0,22703.0,22703.0,470.0,48,,,2098456.0,8431,320525.0,,,,,411774.0,390153.0,2091,0,50461.0,,,,,21816.0,5799358.0,43208,5799358.0,43208,373784.0,,,,2488609.0,10293,,0,1.0,0.6666666666666666
7,7,7,7,7,398,2021-02-11,CO,5781.0,5063.0,11,718.0,22655.0,22655.0,507.0,39,,,2090025.0,13828,317419.0,,,,,409683.0,388291.0,1722,0,49359.0,,,,,21766.0,5756150.0,71519,5756150.0,71519,370986.0,,,,2478316.0,16006,,0,1.0,0.6666666666666666
8,8,8,8,8,454,2021-02-10,CO,5770.0,5055.0,24,715.0,22616.0,22616.0,534.0,55,,,2076197.0,0,317419.0,,,,,407961.0,386723.0,751,0,49359.0,,,,,21689.0,5684631.0,0,5684631.0,0,366778.0,,,,2462310.0,0,,0,1.0,0.6666666666666666
9,9,9,9,9,510,2021-02-09,CO,5746.0,5031.0,13,715.0,22561.0,22561.0,538.0,232,,,2076197.0,3113,315946.0,,,,,407210.0,386113.0,934,0,48994.0,,,,,21611.0,5684631.0,12417,5684631.0,12417,366778.0,,,,2462310.0,3842,,0,1.0,0.6666666666666666
