,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,10,2021-02-18,FL,29990.0,,166,,78295.0,78295.0,4367.0,301,,,8929261.0,19376,813960.0,776136.0,15887541.0,,,1816108.0,1482196.0,5030,0,154948.0,,145802.0,,2376205.0,,20843123.0,73326,20843123.0,73326,969396.0,,922278.0,,10745369.0,24406,18350554.0,50223,1.0,0.5
1,1,1,1,1,66,2021-02-17,FL,29824.0,,165,,77994.0,77994.0,4465.0,308,,,8909885.0,28762,813960.0,776136.0,15844134.0,,,1811078.0,1478634.0,7185,0,154948.0,,145802.0,,2369671.0,,20769797.0,103720,20769797.0,103720,969396.0,,922278.0,,10720963.0,35947,18300331.0,77389,1.0,0.5
2,2,2,2,2,122,2021-02-16,FL,29659.0,,225,,77686.0,77686.0,4646.0,314,,,8881123.0,25432,813960.0,776136.0,15776618.0,,,1803893.0,1474383.0,6165,0,154948.0,,145802.0,,2360095.0,,20666077.0,90631,20666077.0,90631,969396.0,,922278.0,,10685016.0,31597,18222942.0,70063,1.0,0.5
3,3,3,3,3,178,2021-02-15,FL,29434.0,,159,,77372.0,77372.0,4676.0,117,,,8855691.0,15019,813960.0,776136.0,15715678.0,,,1797728.0,1470839.0,3573,0,154948.0,,145802.0,,2351480.0,,20575446.0,49636,20575446.0,49636,969396.0,,922278.0,,10653419.0,18592,18152879.0,42868,1.0,0.5
4,4,4,4,4,234,2021-02-14,FL,29275.0,,96,,77255.0,77255.0,4672.0,121,,,8840672.0,24458,813960.0,776136.0,15678301.0,,,1794155.0,1467690.0,5328,0,154948.0,,145802.0,,2346147.0,,20525810.0,77846,20525810.0,77846,969396.0,,922278.0,,10634827.0,29786,18110011.0,65503,1.0,0.5
5,5,5,5,5,290,2021-02-13,FL,29179.0,,118,,77134.0,77134.0,4681.0,261,,,8816214.0,28940,813960.0,776136.0,15620610.0,,,1788827.0,1463518.0,7377,0,154948.0,,145802.0,,2338601.0,,20447964.0,104841,20447964.0,104841,969396.0,,922278.0,,10605041.0,36317,18044508.0,80932,1.0,0.5
6,6,6,6,6,346,2021-02-12,FL,29061.0,,190,,76873.0,76873.0,4825.0,286,,,8787274.0,29198,813960.0,776136.0,15549919.0,,,1781450.0,1458398.0,7437,0,154948.0,,145802.0,,2328793.0,,20343123.0,109356,20343123.0,109356,969396.0,,922278.0,,10568724.0,36635,17963576.0,85324,1.0,0.5
7,7,7,7,7,402,2021-02-11,FL,28871.0,,180,,76587.0,76587.0,4906.0,301,,,8758076.0,30793,796185.0,761003.0,15475357.0,,,1774013.0,1453130.0,8354,0,144432.0,,135966.0,,2318546.0,,20233767.0,122288,20233767.0,122288,941088.0,,897303.0,,10532089.0,39147,17878252.0,88408,1.0,0.5
8,8,8,8,8,458,2021-02-10,FL,28691.0,,165,,76286.0,76286.0,5129.0,285,,,8727283.0,27677,796185.0,761003.0,15398684.0,,,1765659.0,1447250.0,7405,0,144432.0,,135966.0,,2307417.0,,20111479.0,101357,20111479.0,101357,941088.0,,897303.0,,10492942.0,35082,17789844.0,79153,1.0,0.5
9,9,9,9,9,514,2021-02-09,FL,28526.0,,239,,76001.0,76001.0,5307.0,353,,,8699606.0,24690,796185.0,761003.0,15329888.0,,,1758254.0,1442865.0,6911,0,144432.0,,135966.0,,2297581.0,,20010122.0,91141,20010122.0,91141,941088.0,,897303.0,,10457860.0,31601,17710691.0,72831,1.0,0.5
10,10,10,10,10,570,2021-02-08,FL,28287.0,,126,,75648.0,75648.0,5381.0,133,,,8674916.0,21924,796185.0,761003.0,15267391.0,,,1751343.0,1438543.0,5599,0,144432.0,,135966.0,,2287907.0,,19918981.0,69118,19918981.0,69118,941088.0,,897303.0,,10426259.0,27523,17637860.0,63818,1.0,0.5
11,11,11,11,11,626,2021-02-07,FL,28161.0,,103,,75515.0,75515.0,5381.0,152,,,8652992.0,27601,578113.0,560932.0,15211678.0,,,1745744.0,1434511.0,6468,0,71851.0,,69600.0,,2280071.0,,19849863.0,89947,19849863.0,89947,650372.0,,630838.0,,10398736.0,34069,17574042.0,79722,1.0,0.5
12,12,12,12,12,682,2021-02-06,FL,28058.0,,145,,75363.0,75363.0,5377.0,301,,,8625391.0,28676,578113.0,560932.0,15141916.0,,,1739276.0,1430155.0,7345,0,71851.0,,69600.0,,2270480.0,,19759916.0,108034,19759916.0,108034,650372.0,,630838.0,,10364667.0,36021,17494320.0,79877,1.0,0.5
13,13,13,13,13,738,2021-02-05,FL,27913.0,,215,,75062.0,75062.0,5428.0,341,,,8596715.0,44918,578113.0,560932.0,15072874.0,,,1731931.0,1424463.0,11171,0,71851.0,,69600.0,,2260188.0,,19651882.0,176996,19651882.0,176996,650372.0,,630838.0,,10328646.0,56089,17414443.0,122801,1.0,0.5
14,14,14,14,14,794,2021-02-04,FL,27698.0,,226,,74721.0,74721.0,5607.0,338,,,8551797.0,17814,578113.0,560932.0,14964527.0,,,1720760.0,1416199.0,8434,0,71851.0,,69600.0,,2246336.0,,19474886.0,68280,19474886.0,68280,650372.0,,630838.0,,10272557.0,26248,17291642.0,62373,1.0,0.5
15,15,15,15,15,850,2021-02-03,FL,27472.0,,203,,74383.0,74383.0,5824.0,422,,,8533983.0,21756,578113.0,560932.0,14913135.0,,,1712326.0,1409576.0,6694,0,71851.0,,69600.0,,2235900.0,,19406606.0,79696,19406606.0,79696,650372.0,,630838.0,,10246309.0,28450,17229269.0,52205,1.0,0.5
16,16,16,16,16,906,2021-02-02,FL,27269.0,,140,,73961.0,73961.0,6020.0,410,,,8512227.0,31742,578113.0,560932.0,14870465.0,,,1705632.0,1405015.0,10332,0,71851.0,,69600.0,,2226645.0,,19326910.0,109904,19326910.0,109904,650372.0,,630838.0,,10217859.0,42074,17177064.0,93464,1.0,0.5
17,17,17,17,17,962,2021-02-01,FL,27129.0,,214,,73551.0,73551.0,6142.0,167,,,8480485.0,19021,578113.0,560932.0,14791520.0,,,1695300.0,1398012.0,5600,0,71851.0,,69600.0,,2212703.0,,19217006.0,59496,19217006.0,59496,650372.0,,630838.0,,10175785.0,24621,17083600.0,54434,1.0,0.5
18,18,18,18,18,1018,2021-01-31,FL,26915.0,,120,,73384.0,73384.0,6101.0,164,,,8461464.0,39124,578113.0,560932.0,14745059.0,,,1689700.0,1394061.0,7604,0,71851.0,,69600.0,,2204930.0,,19157510.0,129743,19157510.0,129743,650372.0,,630838.0,,10151164.0,46728,17029166.0,106467,1.0,0.5
19,19,19,19,19,1074,2021-01-30,FL,26795.0,,110,,73220.0,73220.0,6153.0,276,,,8422340.0,63111,578113.0,560932.0,14649647.0,,,1682096.0,1388595.0,14654,0,71851.0,,69600.0,,2194399.0,,19027767.0,207768,19027767.0,207768,650372.0,,630838.0,,10104436.0,77765,16922699.0,164521,1.0,0.5
20,20,20,20,20,1130,2021-01-29,FL,26685.0,,229,,72944.0,72944.0,6375.0,341,,,8359229.0,11105,578113.0,560932.0,14506280.0,,,1667442.0,1378524.0,10745,0,71851.0,,69600.0,,2174542.0,,18819999.0,54799,18819999.0,54799,650372.0,,630838.0,,10026671.0,21850,16758178.0,56253,1.0,0.5
21,21,21,21,21,1186,2021-01-28,FL,26456.0,,207,,72603.0,72603.0,6565.0,388,,,8348124.0,36266,578113.0,560932.0,14465108.0,,,1656697.0,1371175.0,11190,0,71851.0,,69600.0,,2159694.0,,18765200.0,133418,18765200.0,133418,650372.0,,630838.0,,10004821.0,47456,16701925.0,71394,1.0,0.5
22,22,22,22,22,1242,2021-01-27,FL,26249.0,,169,,72215.0,72215.0,6679.0,363,,,8311858.0,19453,578113.0,560932.0,14407095.0,,,1645507.0,1363201.0,8211,0,71851.0,,69600.0,,2146712.0,,18631782.0,65513,18631782.0,65513,650372.0,,630838.0,,9957365.0,27664,16630531.0,22113,1.0,0.5
23,23,23,23,23,1298,2021-01-26,FL,26080.0,,231,,71852.0,71852.0,6775.0,465,,,8292405.0,23990,578113.0,560932.0,14393554.0,,,1637296.0,1357398.0,9466,0,71851.0,,69600.0,,2138319.0,,18566269.0,88400,18566269.0,88400,650372.0,,630838.0,,9929701.0,33456,16608418.0,75761,1.0,0.5
24,24,24,24,24,1354,2021-01-25,FL,25849.0,,156,,71387.0,71387.0,6899.0,168,,,8268415.0,25355,578113.0,560932.0,14330802.0,,,1627830.0,1350703.0,8542,0,71851.0,,69600.0,,2125816.0,,18477869.0,80045,18477869.0,80045,650372.0,,630838.0,,9896245.0,33897,16532657.0,76322,1.0,0.5
25,25,25,25,25,1410,2021-01-24,FL,25693.0,,132,,71219.0,71219.0,6727.0,182,,,8243060.0,27674,578113.0,560932.0,14266676.0,,,1619288.0,1344147.0,9335,0,71851.0,,69600.0,,2114100.0,,18397824.0,102178,18397824.0,102178,650372.0,,630838.0,,9862348.0,37009,16456335.0,82643,1.0,0.5
26,26,26,26,26,1466,2021-01-23,FL,25561.0,,156,,71037.0,71037.0,6711.0,270,,,8215386.0,48994,578113.0,560932.0,14197211.0,,,1609953.0,1336510.0,12104,0,71851.0,,69600.0,,2101456.0,,18295646.0,169590,18295646.0,169590,650372.0,,630838.0,,9825339.0,61098,16373692.0,138643,1.0,0.5
