,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,24,2021-02-18,MI,16251.0,15273.0,91,978.0,,,877.0,0,,220.0,9335801.0,31601,,,9335801.0,,110.0,633973.0,578091.0,1201,0,,,,,732154.0,517991.0,,0,9969774.0,32802,514207.0,,,,,0,10067955.0,32529,1.0,1.0
1,1,1,1,1,80,2021-02-17,MI,16160.0,15188.0,11,972.0,,,929.0,0,,237.0,9304200.0,27209,,,9304200.0,,116.0,632772.0,577203.0,1240,0,,,,,731226.0,517991.0,,0,9936972.0,28449,512204.0,,,,,0,10035426.0,28292,1.0,1.0
2,2,2,2,2,136,2021-02-16,MI,16149.0,15177.0,19,972.0,,,939.0,0,,240.0,9276991.0,16548,,,9276991.0,,123.0,631532.0,576264.0,1124,0,,,,,730143.0,517991.0,,0,9908523.0,17672,511585.0,,,,,0,10007134.0,17169,1.0,1.0
3,3,3,3,3,192,2021-02-15,MI,16130.0,15158.0,11,972.0,,,957.0,0,,258.0,9260443.0,49854,,,9260443.0,,135.0,630408.0,575489.0,1452,0,,,,,729522.0,517991.0,,0,9890851.0,51306,510509.0,,,,,0,9989965.0,51616,1.0,1.0
4,4,4,4,4,248,2021-02-14,MI,16119.0,15150.0,0,969.0,,,1024.0,0,,293.0,9210589.0,0,,,9210589.0,,123.0,628956.0,574224.0,0,0,,,,,727760.0,517991.0,,0,9839545.0,0,509378.0,,,,,0,9938349.0,0,1.0,1.0
5,5,5,5,5,304,2021-02-13,MI,16119.0,15150.0,92,969.0,,,1024.0,0,,293.0,9210589.0,32919,,,9210589.0,,123.0,628956.0,574224.0,944,0,,,,,727760.0,517991.0,,0,9839545.0,33863,509378.0,,,,,0,9938349.0,34182,1.0,1.0
6,6,6,6,6,360,2021-02-12,MI,16027.0,15062.0,8,965.0,,,1024.0,0,,293.0,9177670.0,40189,,,9177670.0,,123.0,628012.0,573372.0,1535,0,,,,,726497.0,498495.0,,0,9805682.0,41724,507720.0,,,,,0,9904167.0,41708,1.0,1.0
7,7,7,7,7,416,2021-02-11,MI,16019.0,15052.0,80,967.0,,,1061.0,0,,266.0,9137481.0,47251,,,9137481.0,,125.0,626477.0,572179.0,1507,0,,,,,724978.0,498495.0,,0,9763958.0,48758,505644.0,,,,,0,9862459.0,48676,1.0,1.0
8,8,8,8,8,472,2021-02-10,MI,15939.0,14977.0,14,962.0,,,1175.0,0,,299.0,9090230.0,33248,,,9090230.0,,149.0,624970.0,570895.0,1239,0,,,,,723553.0,498495.0,,0,9715200.0,34487,504736.0,,,,,0,9813783.0,34376,1.0,1.0
9,9,9,9,9,528,2021-02-09,MI,15925.0,14965.0,62,960.0,,,1175.0,0,,299.0,9056982.0,17526,,,9056982.0,,149.0,623731.0,569980.0,918,0,,,,,722425.0,498495.0,,0,9680713.0,18444,502950.0,,,,,0,9779407.0,18303,1.0,1.0
