,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,29,2021-02-18,MT,1337.0,,3,,4484.0,4484.0,109.0,7,,19.0,940378.0,5950,,,,,13.0,98100.0,95062.0,200,0,,,,,,94201.0,,0,1038478.0,6150,,,,,,0,1035440.0,6120,,0.8333333333333334
1,1,1,1,1,85,2021-02-17,MT,1334.0,,3,,4477.0,4477.0,91.0,16,,23.0,934428.0,3808,,,,,14.0,97900.0,94892.0,234,0,,,,,,94034.0,,0,1032328.0,4042,,,,,,0,1029320.0,3953,,0.8333333333333334
2,2,2,2,2,141,2021-02-16,MT,1331.0,,3,,4461.0,4461.0,96.0,17,,26.0,930620.0,1344,,,,,11.0,97666.0,94747.0,127,0,,,,,,93669.0,,0,1028286.0,1471,,,,,,0,1025367.0,1383,,0.8333333333333334
3,3,3,3,3,197,2021-02-15,MT,1328.0,,1,,4444.0,4444.0,92.0,5,,24.0,929276.0,2806,,,,,15.0,97539.0,94708.0,138,0,,,,,,93476.0,,0,1026815.0,2944,,,,,,0,1023984.0,2923,,0.8333333333333334
4,4,4,4,4,253,2021-02-14,MT,1327.0,,0,,4439.0,4439.0,92.0,-2,,24.0,926470.0,2990,,,,,15.0,97401.0,94591.0,104,0,,,,,,93328.0,,0,1023871.0,3094,,,,,,0,1021061.0,3082,,0.8333333333333334
5,5,5,5,5,309,2021-02-13,MT,1327.0,,3,,4441.0,4441.0,92.0,9,,24.0,923480.0,5538,,,,,15.0,97297.0,94499.0,234,0,,,,,,93148.0,,0,1020777.0,5772,,,,,,0,1017979.0,5734,,0.8333333333333334
6,6,6,6,6,365,2021-02-12,MT,1324.0,,4,,4432.0,4432.0,100.0,18,,23.0,917942.0,4443,,,,,13.0,97063.0,94303.0,221,0,,,,,,92822.0,,0,1015005.0,4664,,,,,,0,1012245.0,4616,,0.8333333333333334
7,7,7,7,7,421,2021-02-11,MT,1320.0,,0,,4414.0,4414.0,111.0,14,,25.0,913499.0,6346,,,,,12.0,96842.0,94130.0,247,0,,,,,,92497.0,,0,1010341.0,6593,,,,,,0,1007629.0,6555,,0.8333333333333334
8,8,8,8,8,477,2021-02-10,MT,1320.0,,5,,4400.0,4400.0,108.0,26,,19.0,907153.0,3532,,,,,11.0,96595.0,93921.0,307,0,,,,,,92248.0,,0,1003748.0,3839,,,,,,0,1001074.0,3795,,0.8333333333333334
9,9,9,9,9,533,2021-02-09,MT,1315.0,,1,,4374.0,4374.0,102.0,18,,24.0,903621.0,4035,,,,,14.0,96288.0,93658.0,374,0,,,,,,91784.0,,0,999909.0,4409,,,,,,0,997279.0,4341,,0.8333333333333334
10,10,10,10,10,589,2021-02-08,MT,1314.0,,0,,4356.0,4356.0,101.0,3,,18.0,899586.0,4235,,,,,10.0,95914.0,93352.0,124,0,,,,,,91380.0,,0,995500.0,4359,,,,,,0,992938.0,4341,,0.8333333333333334
11,11,11,11,11,645,2021-02-07,MT,1314.0,,2,,4353.0,4353.0,101.0,3,,18.0,895351.0,1902,,,,,10.0,95790.0,93246.0,73,0,,,,,,91162.0,,0,991141.0,1975,,,,,,0,988597.0,1962,,0.8333333333333334
12,12,12,12,12,701,2021-02-06,MT,1312.0,,5,,4350.0,4350.0,107.0,9,,18.0,893449.0,5227,,,,,10.0,95717.0,93186.0,259,0,,,,,,91060.0,,0,989166.0,5486,,,,,,0,986635.0,5457,,0.8333333333333334
13,13,13,13,13,757,2021-02-05,MT,1307.0,,-1,,4341.0,4341.0,102.0,14,,24.0,888222.0,6143,,,,,14.0,95458.0,92956.0,347,0,,,,,,90654.0,,0,983680.0,6490,,,,,,0,981178.0,6455,,0.8333333333333334
14,14,14,14,14,813,2021-02-04,MT,1308.0,,5,,4327.0,4327.0,115.0,20,,23.0,882079.0,6362,,,,,13.0,95111.0,92644.0,301,0,,,,,,90402.0,,0,977190.0,6663,,,,,,0,974723.0,6608,,0.8333333333333334
15,15,15,15,15,869,2021-02-03,MT,1303.0,,54,,4307.0,4307.0,121.0,34,,18.0,875717.0,7649,,,,,13.0,94810.0,92398.0,426,0,,,,,,90086.0,,0,970527.0,8075,,,,,,0,968115.0,7985,,0.8333333333333334
16,16,16,16,16,925,2021-02-02,MT,1249.0,,15,,4273.0,4273.0,116.0,25,,20.0,868068.0,3160,,,,,13.0,94384.0,92062.0,314,0,,,,,,89542.0,,0,962452.0,3474,,,,,,0,960130.0,3412,,0.8333333333333334
17,17,17,17,17,981,2021-02-01,MT,1234.0,,1,,4248.0,4248.0,108.0,3,,20.0,864908.0,2369,,,,,15.0,94070.0,91810.0,121,0,,,,,,89218.0,,0,958978.0,2490,,,,,,0,956718.0,2469,,0.8333333333333334
18,18,18,18,18,1037,2021-01-31,MT,1233.0,,1,,4245.0,4245.0,101.0,-1,,20.0,862539.0,3341,,,,,15.0,93949.0,91710.0,187,0,,,,,,89073.0,,0,956488.0,3528,,,,,,0,954249.0,3506,,0.8333333333333334
19,19,19,19,19,1093,2021-01-30,MT,1232.0,,5,,4246.0,4246.0,101.0,29,,20.0,859198.0,7941,,,,,15.0,93762.0,91545.0,516,0,,,,,,88822.0,,0,952960.0,8457,,,,,,0,950743.0,8353,,0.8333333333333334
20,20,20,20,20,1149,2021-01-29,MT,1227.0,,17,,4217.0,4217.0,103.0,14,,23.0,851257.0,5224,,,,,17.0,93246.0,91133.0,312,0,,,,,,88291.0,,0,944503.0,5536,,,,,,0,942390.0,5462,,0.8333333333333334
