,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,37,2021-02-18,NY,37556.0,,116,,89995.0,89995.0,6434.0,0,,1258.0,,0,,,,,863.0,1555773.0,,6794,0,,,,,,140215.0,35739542.0,215731,35739542.0,215731,,,,,,0,,0,1.0,1.0
1,1,1,1,1,93,2021-02-17,NY,37440.0,,112,,89995.0,89995.0,6574.0,0,,1273.0,,0,,,,,854.0,1548979.0,,6092,0,,,,,,139544.0,35523811.0,169963,35523811.0,169963,,,,,,0,,0,1.0,1.0
2,2,2,2,2,149,2021-02-16,NY,37328.0,,107,,89995.0,89995.0,6620.0,0,,1271.0,,0,,,,,878.0,1542887.0,,6753,0,,,,,,138975.0,35353848.0,136392,35353848.0,136392,,,,,,0,,0,1.0,1.0
3,3,3,3,3,205,2021-02-15,NY,37221.0,,103,,89995.0,89995.0,6623.0,0,,1270.0,,0,,,,,875.0,1536134.0,,6365,0,,,,,,138542.0,35217456.0,180504,35217456.0,180504,,,,,,0,,0,1.0,1.0
4,4,4,4,4,261,2021-02-14,NY,37118.0,,109,,89995.0,89995.0,6593.0,0,,1285.0,,0,,,,,881.0,1529769.0,,8316,0,,,,,,138050.0,35036952.0,234708,35036952.0,234708,,,,,,0,,0,1.0,1.0
5,5,5,5,5,317,2021-02-13,NY,37009.0,,127,,89995.0,89995.0,6888.0,0,,1328.0,,0,,,,,908.0,1521453.0,,8763,0,,,,,,137276.0,34802244.0,253563,34802244.0,253563,,,,,,0,,0,1.0,1.0
6,6,6,6,6,373,2021-02-12,NY,36882.0,,139,,89995.0,89995.0,7068.0,0,,1358.0,,0,,,,,941.0,1512690.0,,8404,0,,,,,,136491.0,34548681.0,237134,34548681.0,237134,,,,,,0,,0,1.0,1.0
7,7,7,7,7,429,2021-02-11,NY,36743.0,,124,,89995.0,89995.0,7342.0,0,,1402.0,,0,,,,,941.0,1504286.0,,10099,0,,,,,,135657.0,34311547.0,285499,34311547.0,285499,,,,,,0,,0,1.0,1.0
8,8,8,8,8,485,2021-02-10,NY,36619.0,,138,,89995.0,89995.0,7593.0,0,,1423.0,,0,,,,,955.0,1494187.0,,7101,0,,,,,,134742.0,34026048.0,176750,34026048.0,176750,,,,,,0,,0,1.0,1.0
9,9,9,9,9,541,2021-02-09,NY,36481.0,,142,,89995.0,89995.0,7875.0,0,,1412.0,,0,,,,,971.0,1487086.0,,7866,0,,,,,,133869.0,33849298.0,153648,33849298.0,153648,,,,,,0,,0,1.0,1.0
