,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,39,2021-02-18,OK,4112.0,,23,,23464.0,23464.0,705.0,72,,216.0,2987185.0,2542,,,2987185.0,,,416476.0,,618,0,19845.0,,,,379130.0,394968.0,,0,3403661.0,3160,142681.0,,,,,0,3378127.0,4029,1.0,0.8333333333333334
1,1,1,1,1,95,2021-02-17,OK,4089.0,,28,,23392.0,23392.0,711.0,122,,202.0,2984643.0,27038,,,2984643.0,,,415858.0,,1078,0,19845.0,,,,378721.0,393169.0,,0,3400501.0,28116,142681.0,,,,,0,3374098.0,30996,1.0,0.8333333333333334
2,2,2,2,2,151,2021-02-16,OK,4061.0,,20,,23270.0,23270.0,755.0,14,,229.0,2957605.0,0,,,2957605.0,,,414780.0,,508,0,19845.0,,,,376862.0,391156.0,,0,3372385.0,508,142681.0,,,,,0,3343102.0,0,1.0,0.8333333333333334
3,3,3,3,3,207,2021-02-15,OK,4041.0,,17,,23256.0,23256.0,755.0,8,,229.0,2957605.0,0,,,2957605.0,,,414272.0,,730,0,19845.0,,,,376862.0,389035.0,,0,3371877.0,730,142681.0,,,,,0,3343102.0,0,1.0,0.8333333333333334
4,4,4,4,4,263,2021-02-14,OK,4024.0,,30,,23248.0,23248.0,755.0,98,,229.0,2957605.0,0,,,2957605.0,,,413542.0,,1266,0,19845.0,,,,376862.0,387837.0,,0,3371147.0,1266,142681.0,,,,,0,3343102.0,0,1.0,0.8333333333333334
5,5,5,5,5,319,2021-02-13,OK,3994.0,,35,,23150.0,23150.0,755.0,65,,229.0,2957605.0,9971,,,2957605.0,,,412276.0,,1458,0,19845.0,,,,376862.0,386420.0,,0,3369881.0,11429,142681.0,,,,,0,3343102.0,10472,1.0,0.8333333333333334
6,6,6,6,6,375,2021-02-12,OK,3959.0,,11,,23085.0,23085.0,806.0,65,,235.0,2947634.0,13331,,,2947634.0,,,410818.0,,1417,0,18634.0,,,,376301.0,384398.0,,0,3358452.0,14748,139139.0,,,,,0,3332630.0,14833,1.0,0.8333333333333334
7,7,7,7,7,431,2021-02-11,OK,3948.0,,48,,23020.0,23020.0,807.0,90,,240.0,2934303.0,14947,,,2934303.0,,,409401.0,,1677,0,18634.0,,,,375771.0,382342.0,,0,3343704.0,16624,139139.0,,,,,0,3317797.0,15757,1.0,0.8333333333333334
8,8,8,8,8,487,2021-02-10,OK,3900.0,,30,,22930.0,22930.0,856.0,141,,270.0,2919356.0,16304,,,2919356.0,,,407724.0,,1660,0,18634.0,,,,374806.0,380167.0,,0,3327080.0,17964,139139.0,,,,,0,3302040.0,16959,1.0,0.8333333333333334
9,9,9,9,9,543,2021-02-09,OK,3870.0,,53,,22789.0,22789.0,864.0,15,,256.0,2903052.0,13517,,,2903052.0,,,406064.0,,1070,0,18634.0,,,,373582.0,377678.0,,0,3309116.0,14587,139139.0,,,,,0,3285081.0,15118,1.0,0.8333333333333334
10,10,10,10,10,599,2021-02-08,OK,3817.0,,4,,22774.0,22774.0,917.0,23,,283.0,2889535.0,0,,,2889535.0,,,404994.0,,1040,0,18634.0,,,,372068.0,374950.0,,0,3294529.0,1040,139139.0,,,,,0,3269963.0,0,1.0,0.8333333333333334
11,11,11,11,11,655,2021-02-07,OK,3813.0,,52,,22751.0,22751.0,917.0,158,,283.0,2889535.0,0,,,2889535.0,,,403954.0,,2174,0,18634.0,,,,372068.0,373490.0,,0,3293489.0,2174,139139.0,,,,,0,3269963.0,0,1.0,0.8333333333333334
12,12,12,12,12,711,2021-02-06,OK,3761.0,,51,,22593.0,22593.0,917.0,140,,283.0,2889535.0,23118,,,2889535.0,,,401780.0,,2053,0,18634.0,,,,372068.0,371736.0,,0,3291315.0,25171,139139.0,,,,,0,3269963.0,26172,1.0,0.8333333333333334
13,13,13,13,13,767,2021-02-05,OK,3710.0,,29,,22453.0,22453.0,951.0,136,,284.0,2866417.0,11978,,,2866417.0,,,399727.0,,2662,0,11794.0,,,,369792.0,369278.0,,0,3266144.0,14640,115559.0,,,,,0,3243791.0,13228,1.0,0.8333333333333334
14,14,14,14,14,823,2021-02-04,OK,3681.0,,27,,22317.0,22317.0,1008.0,150,,315.0,2854439.0,15450,,,2854439.0,,,397065.0,,2782,0,11794.0,,,,367514.0,366449.0,,0,3251504.0,18232,115559.0,,,,,0,3230563.0,16906,1.0,0.8333333333333334
15,15,15,15,15,879,2021-02-03,OK,3654.0,,52,,22167.0,22167.0,1048.0,171,,303.0,2838989.0,16519,,,2838989.0,,,394283.0,,2119,0,11794.0,,,,366140.0,363808.0,,0,3233272.0,18638,115559.0,,,,,0,3213657.0,18048,1.0,0.8333333333333334
16,16,16,16,16,935,2021-02-02,OK,3602.0,,38,,21996.0,21996.0,1123.0,39,,320.0,2822470.0,27129,,,2822470.0,,,392164.0,,1296,0,11794.0,,,,364500.0,360702.0,,0,3214634.0,28425,115559.0,,,,,0,3195609.0,29609,1.0,0.8333333333333334
17,17,17,17,17,991,2021-02-01,OK,3564.0,,17,,21957.0,21957.0,1184.0,36,,345.0,2795341.0,0,,,2795341.0,,,390868.0,,1396,0,11794.0,,,,360890.0,358040.0,,0,3186209.0,1396,115559.0,,,,,0,3166000.0,0,1.0,0.8333333333333334
18,18,18,18,18,1047,2021-01-31,OK,3547.0,,43,,21921.0,21921.0,1184.0,153,,345.0,2795341.0,0,,,2795341.0,,,389472.0,,2882,0,11794.0,,,,360890.0,356386.0,,0,3184813.0,2882,115559.0,,,,,0,3166000.0,0,1.0,0.8333333333333334
19,19,19,19,19,1103,2021-01-30,OK,3504.0,,33,,21768.0,21768.0,1184.0,148,,345.0,2795341.0,22371,,,2795341.0,,,386590.0,,2373,0,11794.0,,,,360890.0,354223.0,,0,3181931.0,24744,115559.0,,,,,0,3166000.0,26163,1.0,0.8333333333333334
20,20,20,20,20,1159,2021-01-29,OK,3471.0,,48,,21620.0,21620.0,1247.0,142,,352.0,2772970.0,22490,,,2772970.0,,,384217.0,,2787,0,11016.0,,,,357641.0,351545.0,,0,3157187.0,25277,113470.0,,,,,0,3139837.0,25547,1.0,0.8333333333333334
21,21,21,21,21,1215,2021-01-28,OK,3423.0,,35,,21478.0,21478.0,1250.0,164,,341.0,2750480.0,14393,,,2750480.0,,,381430.0,,2320,0,11016.0,,,,354444.0,348836.0,,0,3131910.0,16713,113470.0,,,,,0,3114290.0,18273,1.0,0.8333333333333334
