,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,51,2021-02-18,VT,193.0,,2,,,,42.0,0,,13.0,307714.0,515,,,,,,14149.0,13748.0,153,0,,,,,,11221.0,,0,990931.0,3743,,,,,321462.0,664,990931.0,3743,1.0,0.8333333333333334
1,1,1,1,1,107,2021-02-17,VT,191.0,,0,,,,46.0,0,,8.0,307199.0,1222,,,,,,13996.0,13599.0,79,0,,,,,,11072.0,,0,987188.0,9621,,,,,320798.0,1288,987188.0,9621,1.0,0.8333333333333334
2,2,2,2,2,163,2021-02-16,VT,191.0,,1,,,,42.0,0,,12.0,305977.0,583,,,,,,13917.0,13533.0,55,0,,,,,,10803.0,,0,977567.0,2551,,,,,319510.0,638,977567.0,2551,1.0,0.8333333333333334
3,3,3,3,3,219,2021-02-15,VT,190.0,,1,,,,40.0,0,,12.0,305394.0,1256,,,,,,13862.0,13478.0,185,0,,,,,,10798.0,,0,975016.0,8323,,,,,318872.0,1402,975016.0,8323,1.0,0.8333333333333334
4,4,4,4,4,275,2021-02-14,VT,189.0,,0,,,,49.0,0,,11.0,304138.0,919,,,,,,13677.0,13332.0,116,0,,,,,,10659.0,,0,966693.0,8027,,,,,317470.0,1032,966693.0,8027,1.0,0.8333333333333334
5,5,5,5,5,331,2021-02-13,VT,189.0,,0,,,,49.0,0,,8.0,303219.0,442,,,,,,13561.0,13219.0,146,0,,,,,,10547.0,,0,958666.0,-2876,,,,,316438.0,587,958666.0,-2876,1.0,0.8333333333333334
6,6,6,6,6,387,2021-02-12,VT,189.0,,1,,,,49.0,0,,11.0,302777.0,880,,,,,,13415.0,13074.0,166,0,,,,,,10331.0,,0,961542.0,9822,,,,,315851.0,1046,961542.0,9822,1.0,0.8333333333333334
7,7,7,7,7,443,2021-02-11,VT,188.0,,1,,,,54.0,0,,10.0,301897.0,947,,,,,,13249.0,12908.0,127,0,,,,,,10154.0,,0,951720.0,9444,,,,,314805.0,1071,951720.0,9444,1.0,0.8333333333333334
8,8,8,8,8,499,2021-02-10,VT,187.0,,1,,,,58.0,0,,10.0,300950.0,563,,,,,,13122.0,12784.0,17,0,,,,,,9988.0,,0,942276.0,4946,,,,,313734.0,568,942276.0,4946,1.0,0.8333333333333334
9,9,9,9,9,555,2021-02-09,VT,186.0,,3,,,,60.0,0,,13.0,300387.0,842,,,,,,13105.0,12779.0,59,0,,,,,,9866.0,,0,937330.0,3037,,,,,313166.0,896,937330.0,3037,1.0,0.8333333333333334
10,10,10,10,10,611,2021-02-08,VT,183.0,,0,,,,63.0,0,,17.0,299545.0,814,,,,,,13046.0,12725.0,146,0,,,,,,9675.0,,0,934293.0,3792,,,,,312270.0,960,934293.0,3792,1.0,0.8333333333333334
11,11,11,11,11,667,2021-02-07,VT,183.0,,1,,,,67.0,0,,20.0,298731.0,1393,,,,,,12900.0,12579.0,134,0,,,,,,9528.0,,0,930501.0,13310,,,,,311310.0,1525,930501.0,13310,1.0,0.8333333333333334
12,12,12,12,12,723,2021-02-06,VT,182.0,,1,,,,64.0,0,,16.0,297338.0,824,,,,,,12766.0,12447.0,154,0,,,,,,9372.0,,0,917191.0,9193,,,,,309785.0,972,917191.0,9193,1.0,0.8333333333333334
13,13,13,13,13,779,2021-02-05,VT,181.0,,0,,,,64.0,0,,17.0,296514.0,648,,,,,,12612.0,12299.0,109,0,,,,,,9126.0,,0,907998.0,4745,,,,,308813.0,758,907998.0,4745,1.0,0.8333333333333334
14,14,14,14,14,835,2021-02-04,VT,181.0,,2,,,,69.0,0,,12.0,295866.0,1031,,,,,,12503.0,12189.0,174,0,,,,,,8953.0,,0,903253.0,8696,,,,,308055.0,1202,903253.0,8696,1.0,0.8333333333333334
15,15,15,15,15,891,2021-02-03,VT,179.0,,3,,,,54.0,0,,8.0,294835.0,937,,,,,,12329.0,12018.0,133,0,,,,,,8759.0,,0,894557.0,8436,,,,,306853.0,1068,894557.0,8436,1.0,0.8333333333333334
