,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,LTC_Data_Available,Score
0,0,0,0,0,52,2021-02-18,WA,4759.0,,50,,18861.0,18861.0,704.0,97,,160.0,,0,,,4683820.0,,60.0,330807.0,313633.0,1061,0,,,,,313595.0,,4997740.0,30274,4997740.0,30274,,,,,,0,,0,,0.6666666666666666
1,1,1,1,1,108,2021-02-17,WA,4709.0,,34,,18764.0,18764.0,704.0,121,,160.0,,0,,,4654384.0,,55.0,329746.0,312828.0,1699,0,,,,,312773.0,,4967466.0,71312,4967466.0,71312,,,,,,0,,0,,0.6666666666666666
2,2,2,2,2,164,2021-02-16,WA,4675.0,,0,,18643.0,18643.0,704.0,0,,160.0,,0,,,4584757.0,,48.0,328047.0,311288.0,0,0,,,,,311237.0,,4896154.0,0,4896154.0,0,,,,,,0,,0,,0.6666666666666666
3,3,3,3,3,220,2021-02-15,WA,4675.0,,0,,18643.0,18643.0,704.0,0,,160.0,,0,,,4584757.0,,48.0,328047.0,311288.0,0,0,,,,,311237.0,,4896154.0,0,4896154.0,0,,,,,,0,,0,,0.6666666666666666
4,4,4,4,4,276,2021-02-14,WA,4675.0,,0,,18643.0,18643.0,704.0,39,,160.0,,0,,,4584757.0,,48.0,328047.0,311288.0,880,0,,,,,311237.0,,4896154.0,29161,4896154.0,29161,,,,,,0,,0,,0.6666666666666666
5,5,5,5,5,332,2021-02-13,WA,4675.0,,42,,18604.0,18604.0,704.0,73,,160.0,,0,,,4556332.0,,48.0,327167.0,310541.0,1008,0,,,,,310521.0,,4866993.0,26917,4866993.0,26917,,,,,,0,,0,,0.6666666666666666
6,6,6,6,6,388,2021-02-12,WA,4633.0,,30,,18531.0,18531.0,704.0,15,,160.0,,0,,,4530317.0,,79.0,326159.0,309673.0,1453,0,,,,,309629.0,,4840076.0,25411,4840076.0,25411,,,,,,0,,0,,0.6666666666666666
7,7,7,7,7,444,2021-02-11,WA,4603.0,,45,,18516.0,18516.0,704.0,-14,,160.0,,0,,,4506197.0,,61.0,324706.0,308392.0,681,0,,,,,308338.0,,4814665.0,20740,4814665.0,20740,,,,,,0,,0,,0.6666666666666666
8,8,8,8,8,500,2021-02-10,WA,4558.0,,107,,18530.0,18530.0,704.0,50,,160.0,,0,,,4485964.0,,62.0,324025.0,307867.0,811,0,,,,,307829.0,,4793925.0,22088,4793925.0,22088,,,,,,0,,0,,0.6666666666666666
9,9,9,9,9,556,2021-02-09,WA,4451.0,,2,,18480.0,18480.0,719.0,197,,188.0,,0,,,4464543.0,,78.0,323214.0,307189.0,3068,0,,,,,307163.0,,4771837.0,54978,4771837.0,54978,,,,,,0,,0,,0.6666666666666666
10,10,10,10,10,612,2021-02-08,WA,4449.0,,0,,18283.0,18283.0,737.0,0,,186.0,,0,,,4412414.0,,73.0,320146.0,304382.0,0,0,,,,,304315.0,,4716859.0,0,4716859.0,0,,,,,,0,,0,,0.6666666666666666
11,11,11,11,11,668,2021-02-07,WA,4449.0,,0,,18283.0,18283.0,737.0,127,,186.0,,0,,,,,73.0,320146.0,304382.0,775,0,,,,,,,4716859.0,22209,4716859.0,22209,,,,,,0,,0,,0.6666666666666666
12,12,12,12,12,724,2021-02-06,WA,4449.0,,33,,18156.0,18156.0,737.0,85,,186.0,,0,,,,,73.0,319371.0,303961.0,1493,0,,,,,,,4694650.0,23835,4694650.0,23835,,,,,,0,,0,,0.6666666666666666
13,13,13,13,13,780,2021-02-05,WA,4416.0,,28,,18071.0,18071.0,789.0,84,,183.0,,0,,,,,80.0,317878.0,302782.0,1584,0,,,,,,,4670815.0,24987,4670815.0,24987,,,,,,0,,0,,0.6666666666666666
14,14,14,14,14,836,2021-02-04,WA,4388.0,,72,,17987.0,17987.0,789.0,95,,183.0,,0,,,,,83.0,316294.0,301372.0,1602,0,,,,,,,4645828.0,31042,4645828.0,31042,,,,,,0,,0,,0.6666666666666666
15,15,15,15,15,892,2021-02-03,WA,4316.0,,-2,,17892.0,17892.0,838.0,80,,194.0,,0,,,,,89.0,314692.0,300018.0,1357,0,,,,,,,4614786.0,17196,4614786.0,17196,,,,,,0,,0,,0.6666666666666666
16,16,16,16,16,948,2021-02-02,WA,4318.0,,33,,17812.0,17812.0,814.0,106,,203.0,,0,,,,,90.0,313335.0,299098.0,1738,0,,,,,,,4597590.0,49351,4597590.0,49351,,,,,,0,,0,,0.6666666666666666
17,17,17,17,17,1004,2021-02-01,WA,4285.0,,0,,17706.0,17706.0,797.0,0,,193.0,,0,,,,,88.0,311597.0,297513.0,0,0,,,,,,,4548239.0,0,4548239.0,0,,,,,,0,,0,,0.6666666666666666
18,18,18,18,18,1060,2021-01-31,WA,4285.0,,0,,17706.0,17706.0,797.0,163,,193.0,,0,,,,,88.0,311597.0,297513.0,1796,0,,,,,,,4548239.0,24018,4548239.0,24018,,,,,,0,,0,,0.6666666666666666
19,19,19,19,19,1116,2021-01-30,WA,4285.0,,42,,17543.0,17543.0,797.0,26,,193.0,,0,,,,,102.0,309801.0,295861.0,1992,0,,,,,,,4524221.0,28758,4524221.0,28758,,,,,,0,,0,,0.6666666666666666
20,20,20,20,20,1172,2021-01-29,WA,4243.0,,32,,17517.0,17517.0,806.0,68,,195.0,,0,,,,,102.0,307809.0,293978.0,2520,0,,,,,,,4495463.0,25248,4495463.0,25248,,,,,,0,,0,,0.6666666666666666
21,21,21,21,21,1228,2021-01-28,WA,4211.0,,44,,17449.0,17449.0,823.0,95,,197.0,,0,,,,,99.0,305289.0,291701.0,1807,0,,,,,,,4470215.0,23371,4470215.0,23371,,,,,,0,,0,,0.6666666666666666
22,22,22,22,22,1284,2021-01-27,WA,4167.0,,19,,17354.0,17354.0,869.0,95,,184.0,,0,,,,,100.0,303482.0,290168.0,1341,0,,,,,,,4446844.0,22614,4446844.0,22614,,,,,,0,,0,,0.6666666666666666
23,23,23,23,23,1340,2021-01-26,WA,4148.0,,34,,17259.0,17259.0,846.0,130,,173.0,,0,,,,,82.0,302141.0,288948.0,1943,0,,,,,,,4424230.0,50584,4424230.0,50584,,,,,,0,,0,,0.6666666666666666
24,24,24,24,24,1396,2021-01-25,WA,4114.0,,0,,17129.0,17129.0,916.0,0,,242.0,,0,,,,,100.0,300198.0,287031.0,0,0,,,,,,,4373646.0,0,4373646.0,0,,,,,,0,,0,,0.6666666666666666
25,25,25,25,25,1452,2021-01-24,WA,4114.0,,0,,17129.0,17129.0,916.0,92,,242.0,,0,,,,,100.0,300198.0,287031.0,1949,0,,,,,,,4373646.0,23867,4373646.0,23867,,,,,,0,,0,,0.6666666666666666
26,26,26,26,26,1508,2021-01-23,WA,4114.0,,49,,17037.0,17037.0,916.0,98,,242.0,,0,,,,,83.0,298249.0,285187.0,2162,0,,,,,,,4349779.0,23981,4349779.0,23981,,,,,,0,,0,,0.6666666666666666
27,27,27,27,27,1564,2021-01-22,WA,4065.0,,125,,16939.0,16939.0,1012.0,91,,243.0,,0,,,,,80.0,296087.0,283188.0,2070,0,,,,,,,4325798.0,28492,4325798.0,28492,,,,,,0,,0,,0.6666666666666666
28,28,28,28,28,1620,2021-01-21,WA,3940.0,,0,,16848.0,16848.0,977.0,206,,221.0,,0,,,,,99.0,294017.0,281258.0,2028,0,,,,,,,4297306.0,31758,4297306.0,31758,,,,,,0,,0,,0.6666666666666666
29,29,29,29,29,1676,2021-01-20,WA,3940.0,,37,,16642.0,16642.0,1012.0,84,,243.0,,0,,,,,104.0,291989.0,279421.0,2050,0,,,,,,,4265548.0,31790,4265548.0,31790,,,,,,0,,0,,0.6666666666666666
30,30,30,30,30,1732,2021-01-19,WA,3903.0,,0,,16558.0,16558.0,1066.0,0,,238.0,,0,,,,,158.0,289939.0,277404.0,0,0,,,,,,,4233758.0,0,4233758.0,0,,,,,,0,,0,,0.6666666666666666
31,31,31,31,31,1788,2021-01-18,WA,3903.0,,0,,16558.0,16558.0,1066.0,188,,238.0,,0,,,,,158.0,289939.0,277404.0,3969,0,,,,,,,4233758.0,53925,4233758.0,53925,,,,,,0,,0,,0.6666666666666666
32,32,32,32,32,1844,2021-01-17,WA,3903.0,,0,,16370.0,16370.0,1066.0,0,,238.0,,0,,,,,105.0,285970.0,273703.0,0,0,,,,,,,4179833.0,0,4179833.0,0,,,,,,0,,0,,0.6666666666666666
33,33,33,33,33,1900,2021-01-16,WA,3903.0,,27,,16370.0,16370.0,1066.0,290,,238.0,,0,,,,,105.0,285970.0,273703.0,2193,0,,,,,,,4179833.0,26619,4179833.0,26619,,,,,,0,,0,,0.6666666666666666
34,34,34,34,34,1956,2021-01-15,WA,3876.0,,38,,16080.0,16080.0,1105.0,0,,202.0,,0,,,,,93.0,283777.0,271643.0,2575,0,,,,,,,4153214.0,24797,4153214.0,24797,,,,,,0,,0,,0.6666666666666666
35,35,35,35,35,2012,2021-01-14,WA,3838.0,,49,,16080.0,16080.0,1083.0,12,,215.0,,0,,,,,93.0,281202.0,269201.0,2658,0,,,,,,,4128417.0,17770,4128417.0,17770,,,,,,0,,0,,0.6666666666666666
36,36,36,36,36,2068,2021-01-13,WA,3789.0,,90,,16068.0,16068.0,1076.0,90,,216.0,,0,,,,,111.0,278544.0,266701.0,1858,0,,,,,,,4110647.0,23116,4110647.0,23116,,,,,,0,,0,,0.6666666666666666
37,37,37,37,37,2124,2021-01-12,WA,3699.0,,1,,15978.0,15978.0,1074.0,207,,234.0,,0,,,,,116.0,276686.0,265312.0,5091,0,,,,,,,4087531.0,52757,4087531.0,52757,,,,,,0,,0,,0.6666666666666666
38,38,38,38,38,2180,2021-01-11,WA,3698.0,,0,,15771.0,15771.0,1177.0,0,,245.0,,0,,,,,86.0,271595.0,260360.0,0,0,,,,,,,4034774.0,0,4034774.0,0,,,,,,0,,0,,0.6666666666666666
39,39,39,39,39,2236,2021-01-10,WA,3698.0,,-1,,15771.0,15771.0,1177.0,214,,245.0,,0,,,,,86.0,271595.0,260360.0,2988,0,,,,,,,4034774.0,24990,4034774.0,24990,,,,,,0,,0,,0.6666666666666666
40,40,40,40,40,2292,2021-01-09,WA,3699.0,,65,,15557.0,15557.0,1177.0,-11,,245.0,,0,,,,,118.0,268607.0,257447.0,4595,0,,,,,,,4009784.0,22646,4009784.0,22646,,,,,,0,,0,,0.6666666666666666
41,41,41,41,41,2348,2021-01-08,WA,3634.0,,29,,15568.0,15568.0,1197.0,153,,242.0,,0,,,,,104.0,264012.0,253401.0,3260,0,,,,,,,3987138.0,17549,3987138.0,17549,,,,,,0,,0,,0.6666666666666666
42,42,42,42,42,2404,2021-01-07,WA,3605.0,,64,,15415.0,15415.0,1159.0,88,,266.0,,0,,,,,109.0,260752.0,250306.0,1985,0,,,,,,,3969589.0,19957,3969589.0,19957,,,,,,0,,0,,0.6666666666666666
43,43,43,43,43,2460,2021-01-06,WA,3541.0,,59,,15327.0,15327.0,1167.0,167,,262.0,,0,,,,,121.0,258767.0,248580.0,2332,0,,,,,,,3949632.0,13872,3949632.0,13872,,,,,,0,,0,,0.6666666666666666
44,44,44,44,44,2516,2021-01-05,WA,3482.0,,23,,15160.0,15160.0,1117.0,49,,249.0,,0,,,,,109.0,256435.0,246376.0,1039,0,,,,,,,3935760.0,25788,3935760.0,25788,,,,,,0,,0,,0.6666666666666666
45,45,45,45,45,2572,2021-01-04,WA,3459.0,,-2,,15111.0,15111.0,1138.0,363,,248.0,,0,,,,,116.0,255396.0,245381.0,8644,0,,,,,,,3909972.0,73152,3909972.0,73152,,,,,,0,,0,,0.6666666666666666
46,46,46,46,46,2628,2021-01-03,WA,3461.0,,0,,14748.0,14748.0,1138.0,0,,248.0,,0,,,,,118.0,246752.0,237165.0,0,0,,,,,,,3836820.0,0,3836820.0,0,,,,,,0,,0,,0.6666666666666666
47,47,47,47,47,2684,2021-01-02,WA,3461.0,,0,,14748.0,14748.0,1138.0,0,,248.0,,0,,,,,118.0,246752.0,237165.0,0,0,,,,,,,3836820.0,0,3836820.0,0,,,,,,0,,0,,0.6666666666666666
48,48,48,48,48,2740,2021-01-01,WA,3461.0,,41,,14748.0,14748.0,1138.0,177,,248.0,,0,,,,,118.0,246752.0,237165.0,4422,0,,,,,,,3836820.0,31430,3836820.0,31430,,,,,,0,,0,,0.6666666666666666
49,49,49,49,49,2796,2020-12-31,WA,3420.0,,51,,14571.0,14571.0,1088.0,126,,235.0,,0,,,,,118.0,242330.0,232993.0,1484,0,,,,,,,3805390.0,7069,3805390.0,7069,,,,,,0,,0,,0.6666666666666666
50,50,50,50,50,2852,2020-12-30,WA,3369.0,,174,,14445.0,14445.0,1201.0,169,,245.0,,0,,,,,108.0,240846.0,231724.0,2174,0,,,,,,,3798321.0,29659,3798321.0,29659,,,,,,0,,0,,0.6666666666666666
51,51,51,51,51,2908,2020-12-29,WA,3195.0,,11,,14276.0,14276.0,1280.0,180,,265.0,,0,,,,,105.0,238672.0,229672.0,1953,0,,,,,,,3768662.0,57883,3768662.0,57883,,,,,,0,,0,,0.6666666666666666
52,52,52,52,52,2964,2020-12-28,WA,3184.0,,0,,14096.0,14096.0,1200.0,0,,243.0,,0,,,,,90.0,236719.0,227795.0,0,0,,,,,,,3710779.0,0,3710779.0,0,,,,,,0,,0,,0.6666666666666666
53,53,53,53,53,3020,2020-12-27,WA,3184.0,,0,,14096.0,14096.0,1200.0,188,,243.0,,0,,,,,90.0,236719.0,227795.0,3626,0,,,,,,,3710779.0,61569,3710779.0,61569,,,,,,0,,0,,0.6666666666666666
54,54,54,54,54,3076,2020-12-26,WA,3184.0,,0,,13908.0,13908.0,1200.0,0,,243.0,,0,,,,,108.0,233093.0,224399.0,0,0,,,,,,,3649210.0,0,3649210.0,0,,,,,,0,,0,,0.6666666666666666
55,55,55,55,55,3132,2020-12-25,WA,3184.0,,22,,13908.0,13908.0,1200.0,291,,243.0,,0,,,,,108.0,233093.0,224399.0,2891,0,,,,,,,3649210.0,28560,3649210.0,28560,,,,,,0,,0,,0.6666666666666666
56,56,56,56,56,3188,2020-12-24,WA,3162.0,,31,,13617.0,13617.0,1202.0,27,,263.0,,0,,,,,105.0,230202.0,221695.0,2315,0,,,,,,,3620650.0,30191,3620650.0,30191,,,,,,0,,0,,0.6666666666666666
57,57,57,57,57,3244,2020-12-23,WA,3131.0,,25,,13590.0,13590.0,774.0,75,,195.0,,0,,,,,97.0,227887.0,219584.0,1252,0,,,,,,,3590459.0,30764,3590459.0,30764,,,,,,0,,0,,0.6666666666666666
58,58,58,58,58,3300,2020-12-22,WA,3106.0,,2,,13515.0,13515.0,1207.0,124,,272.0,,0,,,,,128.0,226635.0,218415.0,4035,0,,,,,,,3559695.0,56118,3559695.0,56118,,,,,,0,,0,,0.6666666666666666
59,59,59,59,59,3356,2020-12-21,WA,3104.0,,0,,13391.0,13391.0,1175.0,0,,258.0,,0,,,,,137.0,222600.0,214466.0,0,0,,,,,,,3503577.0,0,3503577.0,0,,,,,,0,,0,,0.6666666666666666
60,60,60,60,60,3412,2020-12-20,WA,3104.0,,0,,13391.0,13391.0,1175.0,100,,258.0,,0,,,,,137.0,222600.0,214466.0,2332,0,,,,,,,3503577.0,24949,3503577.0,24949,,,,,,0,,0,,0.6666666666666666
61,61,61,61,61,3468,2020-12-19,WA,3104.0,,-13,,13291.0,13291.0,1175.0,56,,258.0,,0,,,,,144.0,220268.0,212283.0,3063,0,,,,,,,3478628.0,45736,3478628.0,45736,,,,,,0,,0,,0.6666666666666666
62,62,62,62,62,3524,2020-12-18,WA,3117.0,,75,,13235.0,13235.0,1231.0,161,,273.0,,0,,,,,150.0,217205.0,209344.0,2940,0,,,,,,,3432892.0,0,3432892.0,0,,,,,,0,,0,,0.6666666666666666
63,63,63,63,63,3580,2020-12-17,WA,3042.0,,89,,13074.0,13074.0,1233.0,301,,279.0,,0,,,,,141.0,214265.0,206594.0,61,0,,,,,,,3432892.0,21216,3432892.0,21216,,,,,,0,,0,,0.6666666666666666
64,64,64,64,64,3636,2020-12-16,WA,2953.0,2953.0,35,,12773.0,12773.0,1181.0,124,,260.0,,0,,,,,138.0,214204.0,206544.0,667,0,,,,,,,3411676.0,31332,3411676.0,31332,,,,,,0,,0,,0.6666666666666666
65,65,65,65,65,3692,2020-12-15,WA,2918.0,2918.0,39,,12649.0,12649.0,1144.0,124,,250.0,,0,,,,,128.0,213537.0,206025.0,652,0,,,,,,,3380344.0,32441,3380344.0,32441,,,,,,0,,0,,0.6666666666666666
66,66,66,66,66,3748,2020-12-14,WA,2879.0,2879.0,0,,12525.0,12525.0,1140.0,157,,248.0,,0,,,,,147.0,212885.0,205413.0,1410,0,,,,,,,3347903.0,27833,3347903.0,27833,,,,,,0,,0,,0.6666666666666666
67,67,67,67,67,3804,2020-12-13,WA,2879.0,2879.0,0,,12368.0,12368.0,1140.0,131,,248.0,,0,,,,,131.0,211475.0,204060.0,2228,0,,,,,,,3320070.0,34134,3320070.0,34134,,,,,,0,,0,,0.6666666666666666
68,68,68,68,68,3860,2020-12-12,WA,2879.0,2879.0,29,,12237.0,12237.0,1140.0,153,,248.0,,0,,,,,133.0,209247.0,202000.0,2421,0,,,,,,,3285936.0,29098,3285936.0,29098,,,,,,0,,0,,0.6666666666666666
69,69,69,69,69,3916,2020-12-11,WA,2850.0,2850.0,-166,,12084.0,12084.0,1166.0,88,,262.0,,0,,,,,133.0,206826.0,199729.0,2557,0,,,,,,,3256838.0,31410,3256838.0,31410,,,,,,0,,0,,0.6666666666666666
70,70,70,70,70,3972,2020-12-10,WA,3016.0,3016.0,49,,11996.0,11996.0,1177.0,155,,294.0,,0,,,,,144.0,204269.0,197334.0,2977,0,,,,,,,3225428.0,28378,3225428.0,28378,,,,,,0,,0,,0.6666666666666666
71,71,71,71,71,4028,2020-12-09,WA,2967.0,2967.0,26,,11841.0,11841.0,1114.0,145,,294.0,,0,,,,,141.0,201292.0,194605.0,3650,0,,,,,,,3197050.0,32336,3197050.0,32336,,,,,,0,,0,,0.6666666666666666
72,72,72,72,72,4084,2020-12-08,WA,2941.0,2941.0,16,,11696.0,11696.0,1094.0,152,,281.0,,0,,,,,135.0,197642.0,191241.0,1182,0,,,,,,,3164714.0,21714,3164714.0,21714,,,,,,0,,0,,0.6666666666666666
73,73,73,73,73,4140,2020-12-07,WA,2925.0,2925.0,0,,11544.0,11544.0,1099.0,69,,274.0,,0,,,,,135.0,196460.0,190099.0,1773,0,,,,,,,3143000.0,9155,3143000.0,9155,,,,,,0,,0,,0.6666666666666666
74,74,74,74,74,4196,2020-12-06,WA,2925.0,2925.0,0,,11475.0,11475.0,1099.0,202,,274.0,,0,,,,,136.0,194687.0,188411.0,3080,0,,,,,,,3133845.0,13699,3133845.0,13699,,,,,,0,,0,,0.6666666666666666
75,75,75,75,75,4252,2020-12-05,WA,2925.0,2925.0,25,,11273.0,11273.0,1099.0,78,,274.0,,0,,,,,132.0,191607.0,185493.0,3138,0,,,,,,,3120146.0,225779,3120146.0,225779,,,,,,0,,0,,0.6666666666666666
76,76,76,76,76,4308,2020-12-04,WA,2900.0,2900.0,50,,11195.0,11195.0,1097.0,241,,278.0,,0,,,,,137.0,188469.0,182557.0,3312,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
77,77,77,77,77,4364,2020-12-03,WA,2850.0,2850.0,45,,10954.0,10954.0,1083.0,34,,274.0,,0,,,,,135.0,185157.0,179413.0,3401,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
78,78,78,78,78,4420,2020-12-02,WA,2805.0,2805.0,31,,10920.0,10920.0,1077.0,25,,284.0,,0,,,,,128.0,181756.0,176278.0,4702,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
79,79,79,79,79,4476,2020-12-01,WA,2774.0,2774.0,71,,10895.0,10895.0,1003.0,136,,260.0,,0,,,,,113.0,177054.0,171778.0,1314,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
80,80,80,80,80,4532,2020-11-30,WA,2703.0,2703.0,0,,10759.0,10759.0,989.0,96,,256.0,,0,,,,,103.0,175740.0,170525.0,2179,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
81,81,81,81,81,4588,2020-11-29,WA,2703.0,2703.0,0,,10663.0,10663.0,983.0,167,,236.0,,0,,,,,94.0,173561.0,168419.0,2624,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
82,82,82,82,82,4644,2020-11-28,WA,2703.0,2703.0,-1,,10496.0,10496.0,990.0,254,,207.0,,0,,,,,83.0,170937.0,165906.0,530,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
83,83,83,83,83,4700,2020-11-27,WA,2704.0,2704.0,0,,10242.0,10242.0,1002.0,0,,226.0,,0,,,,,102.0,170407.0,165384.0,2936,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
84,84,84,84,84,4756,2020-11-26,WA,2704.0,2704.0,14,,10242.0,10242.0,1007.0,76,,215.0,,0,,,,,102.0,167471.0,162590.0,3157,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
85,85,85,85,85,4812,2020-11-25,WA,2690.0,2690.0,35,,10166.0,10166.0,932.0,70,,214.0,,0,,,,,101.0,164314.0,159612.0,3678,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
86,86,86,86,86,4868,2020-11-24,WA,2655.0,2655.0,36,,10096.0,10096.0,894.0,331,,187.0,,0,,,,,82.0,160636.0,156154.0,1405,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
87,87,87,87,87,4924,2020-11-23,WA,2619.0,2619.0,0,,9765.0,9765.0,893.0,0,,165.0,,0,,,,,86.0,159231.0,154801.0,1890,0,,,,,,,2894367.0,0,2894367.0,0,,,,,,0,,0,,0.6666666666666666
